name,background_color,text_color
Attente rép client,#E1B0E7,#FFFFFF
SAV,#FF8000,#000000
Casse P30,#FF8000,#000000
Non reçu,#000000,#FFFFFF
Rétractation,#BDBFBB,#000000
Attente suivi,#15BFD6,#000000
Attente Photos,#E1B0E7,#FFFFFF
Attente Retour Colis,#BDBFBB,#000000
Attente réappro,#15BFD6,#000000
A rembourser,#BDEB19,#000000
A renvoyer,#BDEB19,#000000
EVAL,#FE2E2E,#FFFFFF
Rupture,#000000,#FF0000
Attente avoir,#BDEB19,#000000
Ticket ancien ADV,#15BFD6,#000000
Attente paiement LIV Premium,#ff99ff,#000000
Avis de souffrance,#000000,#FFFFFF
ATTENTE RETOUR CHARLES,#FE2E2E,#FFFFFF
Casse M30,#FF8000,#000000
ATTENTE RETOUR vanessa,#FE2E2E,#FFFFFF
MISE EN DEMEURE,#b266ff,#FFFFFF
ticket CHRONO,#15D6BA,#000000
RECOUVREMENT,#b266ff,#FFFFFF
récla refusé,#FE2E75,#000000
Fausse Expé,#15BFD6,#000000
Appeler Client,#C60800,#FFFFFF
recommander a repondre,#D6AD15,#000000
Erreur fiche produit,#F8607B,#E9F2EE
RECLAMATION,#FE2E2E,#000000
MESSAGE DU standard ,#DA0E45,#EAF4F4
Retour colis Jerome,#BDBFBB,#151315
URGENT,#C60800,#000000
Autorisation de retour traité,#000000,#fff
Attente findis EIS,#FFFF00,#000000
Mauvaise ref livré,#F8607B,#E9F2EE
attente ubaldi,#FFFF00,#000000
AVOIR RECU PAS CREE,#100FF5,#F9FF1D
Recouvrement a faire ,#b266ff,#000000
gérer les retour,#FF501D,#E9FF00
REQUETTE EN COURS,#b266ff,#FFFFFF
Colis a faire reprendre,#15D6BA,#FFFFFF
Attente compta,#100FF5,#00FFEE
Pièce manquante,#FF8000,#000000
Retard de livraison,#15BFD6,#000000
Retard de prépa,#15BFD6,#000000
corse,#FFFFFF,#FF8000
attente fnac pro ,#FFFF00,#000000
attente darty pro ,#FFFF00,#000000
Demande annulation en cours,#100FF5,#DDF50F
Appeler Sav Marque,#40A494,#FFFFFF
Colis Perdu,#567899,#F3F8F8
Attente Facture SAV pour compt,#E1B0E7,#FFFFll
attente Amazon,#FFFF00,#000000
attente pccomp.,#FFFF00,#000000
PMS,#FF8000,#000000
Renvoi ou Remboursement?,#BDEB19,#000000
Attente Régularisation Command,#b266ff,#000000
Attente Doc Client,#E1B0E7,#FFFFFF
ATTENTE DEPOT PLAINTE ,#E1B0E7,#FFFFFF
Attente Station SAV,#40A494,#FFFFFF
Attente retour DEV,#FE2E2E,#21031
En reliquat,#15BFD6,#FFFFll
Attente acer,#FFFF00,#000000
colis refusé cassé,#BDBFBB,#000000
Suivre cloture Recla ,#FE2E9E,#FFFFFF
En cours de réparation,#99ccff,#FFFFFF
Attente Computer Universe,#FFFF00,#000000
Attente  Fournisseur,#FFFF00,#000000
Solution Commercial en cours,#40A494,#FFFFFF
Relance auto colis sav,#000000,#000000
Attente BL,#b266ff,#FFFFll
Attente Rétracte client sur MP,#567899,#21236
Frais de retour à déduire,#F43E71,#21031
Proposition de Geste co,#F81G89,#36847
Faire facture MP,#E666UU,#15BFD6
Colis refusé en retour,#ffb266,#FFFFFF
Livraison non honorée,#000000,#FFFFFF
A verifier onglet finance,#b266ff,#21231
Client a un colis en TROP,#b266ff,#000000
Tel/adresse invalide,#FFFFFF,#FF8000
Récla acepté Colis chez client,#FE2E2E,#000000
Récl acpté Colis retour Fourni,#15D6BA,#FFFFFF
Récla accepté Coli retour CNSI,#FE2E2E,#000000
Récla accepté Colis en SAV,#FE2E2E,#000000
Faire rapport d'expertise,#F8607B,#21031
Attente rep. Dépot,#FFFF00,#000000
Remboursement à contester,#FE2E2E,#FFFFFF
Contestation faite a suivre,#FE2E2E,#FFFFFF
RECLA accepté frais de port ,#FE2E2E,#000000
Attente retour Cyril,#FE2E2E,#FFFFFF
Your à repondre,#FE2E2E,#FFFFFF
